,department_id_1,department_id_2,department_name_1,department_name_2,confidence,support
0,1,1,frozen,frozen,0.5085436042459124,0.38923397023070067
1,1,4,frozen,produce,0.41088961026029114,0.31449062183234383
2,1,7,frozen,beverages,0.2659371079202597,0.2035454884954538
3,1,16,frozen,dairy eggs,0.39235855256606855,0.30030714356484695
4,1,19,frozen,snacks,0.2734152510306096,0.20926918122994612
5,2,1,other,frozen,0.46016713091922007,0.0062952998651007175
6,2,2,other,other,0.9610027855153204,0.013146964003993629
7,2,3,other,bakery,0.3086350974930362,0.004222271338094186
8,2,4,other,produce,0.7091922005571031,0.009702078363526892
9,2,7,other,beverages,0.5103064066852367,0.006981228421830819
10,2,13,other,pantry,0.44623955431754875,0.006104764154897911
11,2,15,other,canned goods,0.26573816155988855,0.0036354213506695427
12,2,16,other,dairy eggs,0.6852367688022284,0.009374356941978065
13,2,19,other,snacks,0.5075208913649025,0.006943121279790259
14,2,20,other,deli,0.2590529247910863,0.0035439642097721954
15,3,1,bakery,frozen,0.3835186180104972,0.14145371125456332
16,3,3,bakery,bakery,0.7526552878456007,0.2776029083370805
17,3,4,bakery,produce,0.6298921353886845,0.23232400216448568
18,3,7,bakery,beverages,0.39971897342645785,0.14742891112652334
19,3,13,bakery,pantry,0.35198578336157377,0.12982341150378404
20,3,16,bakery,dairy eggs,0.6187750547588544,0.22822367368092128
21,3,19,bakery,snacks,0.4161672934661322,0.15349556813938067
22,3,20,bakery,deli,0.2738562631731206,0.10100679069271162
23,5,4,alcohol,produce,0.28885316184351556,0.012323849735917505
24,5,5,alcohol,alcohol,0.5546623794212219,0.02366453520718853
25,5,7,alcohol,beverages,0.2765273311897106,0.01179797117575776
26,5,16,alcohol,dairy eggs,0.28277956413004646,0.01206472117004169
27,6,1,international,frozen,0.4316081330868762,0.03915127773247262
28,6,3,international,bakery,0.32187867585279784,0.029197692231478025
29,6,4,international,produce,0.7103007897832297,0.06443155576218094
30,6,6,international,international,0.8163333893463284,0.07404979841321861
31,6,7,international,beverages,0.4176608973281801,0.037886120616725985
