product_name_1,product_name_2,confidence,support
47209,13176,0.3211838859961633,0.01781317445359759
22035,13176,0.28972868217054265,0.004544487339271058
35951,13176,0.2833178005591798,0.004620482110830775
21137,13176,0.27550453619700055,0.022616044016171687
45066,24852,0.33278777959629025,0.009271362130285437
31717,26209,0.27226606538895154,0.007341094932668633
16797,24852,0.2901570048309179,0.014606195093777549
44359,13176,0.25934579439252337,0.005061251785877132
8277,13176,0.2659380692167578,0.004438094659087455
24184,24852,0.25431928127159636,0.005593215186795148
41787,24852,0.3517241379310345,0.003100586679636441
43961,24852,0.2546483427647534,0.0047876706082621515
30391,13176,0.26452732003469215,0.009271362130285437
47766,24852,0.2948717948717949,0.016779645560385446
39877,13176,0.2704845814977974,0.004666078973766605
27966,21137,0.28011611030478956,0.011733592728820257
4920,24852,0.26195219123505975,0.007994649968082196
5876,13176,0.2922190201729107,0.007705869836155272
5077,24852,0.26437847866419295,0.0043317019789038515
27521,13176,0.2538293216630197,0.0035261574003708543
11777,24852,0.26785714285714285,0.003191780405508101
27156,13176,0.26957637997432604,0.003191780405508101
9839,13176,0.2996432818073722,0.0038301364866097213
47626,24852,0.2614268440145103,0.016430069611210747
39928,21137,0.2757871878393051,0.003860534395233608
19057,13176,0.3342409802586794,0.007462686567164179
49683,24852,0.2787427626137304,0.005122047603124905
22825,13176,0.3285568065506653,0.004878864334133812
46906,24852,0.26259946949602125,0.003009392953764781
37646,13176,0.2770083102493075,0.006079581724777335
8174,13176,0.3537688442211055,0.005350031917804055
22035,21137,0.2548449612403101,0.003997324984041098
